-0.38	-0.09
-0.02	-0.48
-0.40	-1.29
-0.62	-0.06
 0.70	-0.19
-0.46	 0.69
-0.45	-0.72
-0.46	-0.13
-0.27	 0.41
-0.15	 0.41
 0.23	-0.53
 0.16	-0.87
 0.52	 0.49
 0.69	-0.02
 0.55	-0.16
-0.32	-0.81
-1.07	-0.73
 0.77	-0.43
-0.47	-0.34
 0.15	 1.07
 0.66	 0.21
-0.78	 0.13
 0.47	-0.31
-0.04	 0.27
-0.72	 0.49
-0.37	-1.07
 0.18	-0.50
-0.94	-0.42
 0.51	-0.71
-0.06	-0.82
-0.11	 0.72
 0.80	-0.15
 0.08	-0.12
 0.20	-0.37
 0.14	-0.24
 0.33	-1.01
 0.89	-0.39
-0.06	 0.28
-1.07	 0.22
-0.60	-0.70
-0.04	-0.41
 0.40	 0.21
-0.37	 0.01
 0.04	 0.47
-0.57	-0.41
 0.41	-0.74
 0.88	-0.69
 0.07	-0.50
-0.76	-0.07
 0.18	 0.09
 0.67	-0.42
 0.26	 0.40
-1.13	 0.48
 1.06	 0.64
 0.41	 0.39
 0.95	-0.04
-0.60	 0.44
 0.23	-0.82
 0.91	 0.31
-0.45	-0.04
-0.81	-0.65
-0.23	 0.51
-0.60	 0.28
 0.74	-0.84
 0.57	-0.31
 0.25	-0.55
 0.52	 0.94
 0.34	 0.11
 1.05	-0.02
 0.01	-0.63
 0.24	 0.49
-0.89	 0.63
 0.17	 0.24
-0.06	 0.39
 0.85	 0.81
 0.30	-0.08
-0.14	 0.72
-0.05	 0.18
-0.25	-0.43
-0.23	 0.64
-1.13	-0.62
-0.92	-0.45
 0.22	 0.77
-0.69	 0.53
-1.04	 0.77
 0.52	 0.30
-0.77	 0.03
 0.71	 0.57
-0.34	 0.47
-0.35	 0.13
 1.13	 0.04
-0.38	 0.79
-0.07	 0.22
-0.45	-0.06
 0.86	 0.64
-0.47	-0.22
 0.13	 0.87
-0.65	-0.36
 0.47	 1.01
-0.39	-0.81
