5.68 	1.90 	4.53 	8.2 
3.79 	1.64 	7.32 	6.9 
6.02 	3.56 	6.95 	10.8 
4.85 	1.07 	5.88 	8.3 
4.60 	2.32 	4.05 	7.5 
6.05 	0.64 	1.42 	13.6 
4.90 	8.50 	12.60 	8.5 
7.08 	3.00 	6.75 	11.5 
3.85 	2.11 	16.28 	7.9 
4.65 	0.63 	6.59 	7.1 
4.59 	1.97 	3.61 	8.7 
4.29 	1.97 	6.61 	7.8 
7.97 	1.93 	7.57 	9.9 
6.19 	1.18 	1.42 	6.9 
6.13 	2.06 	10.35 	10.5 
5.71 	1.78 	8.53 	8.0 
6.40 	2.40 	4.53 	10.3 
6.06 	3.67 	12.79 	7.1 
5.09 	1.03 	2.53 	8.9 
6.13 	1.71 	5.28 	9.9 
5.78 	3.36 	2.96 	8.0 
5.43 	1.13 	4.31 	11.3 
6.50 	6.21 	3.47 	12.3 
7.98 	7.92 	3.37 	9.8 
11.54 	10.89 	1.20 	10.5 
5.84 	0.92 	8.61 	6.4 
3.84 	1.20 	6.45 	9.6 
